,grid_id,x,y,visitors
590,7747,78.0,54.0,42
591,7748,79.0,54.0,48
592,7749,80.0,54.0,27
593,7750,81.0,54.0,44
594,7983,30.0,56.0,12
595,7984,31.0,56.0,2
596,7985,32.0,56.0,7
597,7986,33.0,56.0,30
598,7987,34.0,56.0,20
599,7988,35.0,56.0,17
600,7989,36.0,56.0,3
601,7991,38.0,56.0,52
602,7992,39.0,56.0,2
603,7993,40.0,56.0,29
604,7994,41.0,56.0,7
605,7995,42.0,56.0,9
606,7996,43.0,56.0,26
607,7997,44.0,56.0,29
608,7998,45.0,56.0,17
609,7999,46.0,56.0,30
610,8000,47.0,56.0,12
611,8002,49.0,56.0,1
612,8005,52.0,56.0,5
613,8007,54.0,56.0,18
614,8009,56.0,56.0,4
615,8010,57.0,56.0,22
616,8012,59.0,56.0,3
617,8013,60.0,56.0,9
618,8015,62.0,56.0,6
619,8020,67.0,56.0,9
620,8023,70.0,56.0,17
621,8024,71.0,56.0,29
622,8025,72.0,56.0,21
623,8026,73.0,56.0,10
624,8028,75.0,56.0,31
625,8029,76.0,56.0,4
626,8030,77.0,56.0,10
627,8031,78.0,56.0,35
628,8032,79.0,56.0,41
629,8033,80.0,56.0,14
630,8034,81.0,56.0,26
631,8105,10.0,57.0,1
632,8117,22.0,57.0,1
633,8125,30.0,57.0,17
634,8126,31.0,57.0,20
635,8127,32.0,57.0,33
636,8128,33.0,57.0,148
637,8129,34.0,57.0,20
638,8130,35.0,57.0,6
639,8131,36.0,57.0,24
640,8132,37.0,57.0,1
641,8133,38.0,57.0,10
642,8134,39.0,57.0,1
643,8135,40.0,57.0,10
644,8136,41.0,57.0,18
645,8137,42.0,57.0,50
646,8138,43.0,57.0,69
647,8139,44.0,57.0,73
648,8140,45.0,57.0,9
649,8141,46.0,57.0,8
650,8142,47.0,57.0,14
651,8149,54.0,57.0,8
652,8151,56.0,57.0,5
653,8152,57.0,57.0,8
654,8155,60.0,57.0,3
656,8157,62.0,57.0,10
657,8158,63.0,57.0,3
658,8160,65.0,57.0,9
659,8161,66.0,57.0,4
660,8162,67.0,57.0,8
661,8163,68.0,57.0,4
662,8164,69.0,57.0,1
664,8166,71.0,57.0,35
665,8167,72.0,57.0,13
666,8168,73.0,57.0,14
667,8169,74.0,57.0,1
668,8170,75.0,57.0,51
669,8171,76.0,57.0,30
670,8172,77.0,57.0,24
671,8173,78.0,57.0,16
672,8174,79.0,57.0,17
673,8175,80.0,57.0,23
674,8176,81.0,57.0,8
675,8177,82.0,57.0,1
676,8240,3.0,58.0,2
677,8242,5.0,58.0,2
678,8259,22.0,58.0,1
679,8262,25.0,58.0,2
680,8267,30.0,58.0,1
681,8268,31.0,58.0,102
682,8269,32.0,58.0,41
683,8270,33.0,58.0,37
684,8271,34.0,58.0,61
685,8272,35.0,58.0,19
686,8273,36.0,58.0,49
687,8274,37.0,58.0,19
688,8275,38.0,58.0,35
689,8276,39.0,58.0,20
690,8277,40.0,58.0,54
691,8278,41.0,58.0,38
692,8279,42.0,58.0,26
693,8280,43.0,58.0,11
694,8281,44.0,58.0,48
695,8282,45.0,58.0,9
696,8283,46.0,58.0,20
697,8284,47.0,58.0,10
698,8285,48.0,58.0,2
699,8286,49.0,58.0,2
700,8287,50.0,58.0,1
701,8288,51.0,58.0,2
702,8289,52.0,58.0,2
703,8291,54.0,58.0,18
704,8293,56.0,58.0,6
705,8294,57.0,58.0,3
706,8296,59.0,58.0,1
707,8297,60.0,58.0,3
708,8298,61.0,58.0,1
