,source,target,weight
766,1474,2902,1.0
767,2472,2902,1.0
768,2758,2902,2.0
769,2759,2902,4.0
770,2898,2902,1.0
771,2901,2902,3.0
772,2903,2902,2.0
773,3042,2902,2.0
774,3182,2902,1.0
775,3186,2902,7.0
776,3187,2902,2.0
777,3189,2902,3.0
778,3322,2902,1.0
779,3323,2902,2.0
780,3327,2902,1.0
781,3328,2902,1.0
782,4882,2902,1.0
783,5717,2902,1.0
784,7000,2902,1.0
785,7705,2902,3.0
786,8451,2902,2.0
787,8838,2902,1.0
788,10873,2902,1.0
789,1474,6027,1.0
790,1617,4181,1.0
791,2616,4181,3.0
792,3042,4181,1.0
793,4329,4181,1.0
794,4882,4181,2.0
795,1743,2734,1.0
796,2592,2734,1.0
797,5577,2734,1.0
798,7986,2734,1.0
799,1744,753,1.0
800,1759,1902,1.0
801,1759,2165,1.0
802,3873,2165,2.0
803,1885,757,1.0
804,2616,757,1.0
805,3042,757,1.0
806,1885,1743,1.0
807,2734,1743,1.0
808,1901,2899,3.0
809,2472,2899,1.0
810,2753,2899,2.0
811,3041,2899,1.0
812,3042,2899,9.0
813,3184,2899,1.0
814,3338,2899,1.0
815,1902,1759,1.0
816,2034,2176,1.0
817,2034,2178,4.0
818,2893,2178,1.0
819,3030,2178,1.0
820,2034,2887,1.0
821,2458,2887,3.0
822,2603,2887,1.0
823,2903,2887,1.0
824,2034,2888,1.0
825,2176,2888,1.0
826,2461,2888,2.0
827,2893,2888,1.0
828,3318,2888,3.0
829,2045,3180,1.0
830,2889,3180,1.0
831,2903,3180,1.0
832,2045,7734,1.0
833,6322,7734,1.0
834,6684,7734,1.0
835,7318,7734,1.0
836,7458,7734,1.0
837,7466,7734,3.0
838,7716,7734,2.0
839,7722,7734,1.0
840,7726,7734,1.0
841,7729,7734,2.0
842,8141,7734,1.0
843,8160,7734,1.0
844,8166,7734,1.0
845,8309,7734,1.0
846,8455,7734,2.0
847,8559,7734,2.0
848,8738,7734,1.0
849,8869,7734,1.0
850,8872,7734,1.0
851,8878,7734,1.0
852,8982,7734,1.0
853,9126,7734,1.0
854,9160,7734,2.0
855,9439,7734,1.0
856,9582,7734,1.0
857,9596,7734,1.0
858,9597,7734,1.0
859,9604,7734,1.0
860,9728,7734,2.0
861,9888,7734,1.0
862,9991,7734,1.0
863,9995,7734,1.0
864,9996,7734,1.0
865,10004,7734,1.0
866,10011,7734,1.0
867,10441,7734,1.0
868,10468,7734,1.0
869,10587,7734,1.0
870,10607,7734,1.0
871,10610,7734,1.0
872,10848,7734,1.0
873,10856,7734,1.0
874,10967,7734,2.0
875,11152,7734,1.0
876,11154,7734,1.0
877,11282,7734,1.0
878,11423,7734,1.0
879,11443,7734,1.0
880,11600,7734,1.0
881,11701,7734,1.0
882,11706,7734,1.0
883,12271,7734,1.0
884,12430,7734,1.0
885,12448,7734,1.0
886,12457,7734,3.0
887,12576,7734,3.0
888,12693,7734,1.0
889,12719,7734,2.0
890,13145,7734,1.0
891,13290,7734,1.0
892,14292,7734,1.0
893,14436,7734,1.0
894,14973,7734,1.0
895,15132,7734,1.0
896,2048,6177,1.0
897,5753,6177,1.0
898,6035,6177,1.0
899,6178,6177,2.0
900,6743,6177,1.0
901,7022,6177,6.0
902,7032,6177,2.0
903,7037,6177,2.0
904,7313,6177,2.0
905,7318,6177,1.0
906,7460,6177,1.0
907,8586,6177,1.0
908,11285,6177,1.0
909,11565,6177,1.0
910,2049,3044,1.0
911,2761,3044,1.0
912,2899,3044,1.0
913,2901,3044,2.0
914,2902,3044,1.0
915,2903,3044,4.0
916,3042,3044,3.0
917,3043,3044,1.0
918,3045,3044,2.0
919,3182,3044,1.0
920,3184,3044,3.0
921,3185,3044,2.0
922,3186,3044,5.0
923,3187,3044,2.0
924,3190,3044,1.0
925,3327,3044,2.0
926,3471,3044,3.0
927,3481,3044,1.0
928,3892,3044,1.0
929,3906,3044,1.0
930,4323,3044,1.0
931,6989,3044,1.0
932,9024,3044,1.0
933,2049,7180,1.0
934,6326,7180,1.0
935,6893,7180,1.0
936,7037,7180,1.0
937,7179,7180,2.0
938,7606,7180,1.0
939,8177,7180,1.0
940,13966,7180,1.0
941,2049,7602,1.0
942,6753,7602,1.0
943,7027,7602,1.0
944,7311,7602,1.0
945,7322,7602,1.0
946,7457,7602,1.0
947,7463,7602,1.0
948,8031,7602,1.0
949,8165,7602,1.0
950,8168,7602,1.0
951,8171,7602,2.0
952,8175,7602,1.0
953,8461,7602,1.0
954,8881,7602,1.0
955,10858,7602,1.0
956,2049,10289,1.0
957,5435,10289,1.0
958,7462,10289,1.0
959,8010,10289,1.0
960,9004,10289,1.0
961,9005,10289,1.0
962,9023,10289,1.0
963,9866,10289,1.0
964,10007,10289,2.0
965,10138,10289,1.0
966,10147,10289,1.0
967,10857,10289,1.0
968,10998,10289,1.0
969,11286,10289,1.0
970,12295,10289,1.0
971,12827,10289,1.0
972,12953,10289,1.0
973,14261,10289,1.0
974,2165,3873,2.0
975,5439,3873,2.0
976,2172,2603,1.0
977,2889,2603,1.0
978,2172,2750,1.0
979,4321,2750,2.0
980,2173,749,1.0
981,2173,2458,3.0
982,2887,2458,3.0
983,3042,2458,1.0
984,2173,3043,1.0
985,3042,3043,3.0
986,3044,3043,2.0
987,3186,3043,1.0
988,3192,3043,1.0
989,3318,3043,1.0
990,3327,3043,1.0
991,3330,3043,1.0
992,3590,3043,4.0
993,3892,3043,1.0
994,8128,3043,1.0
995,14706,3043,1.0
996,2178,1894,1.0
997,2757,1894,2.0
998,3042,1894,2.0
999,2178,2893,1.0
1000,2888,2893,1.0
1001,3035,2893,2.0
1002,3042,2893,3.0
1003,2184,2472,1.0
1004,2759,2472,1.0
1005,2899,2472,1.0
1006,2900,2472,1.0
1007,3042,2472,2.0
1008,3043,2472,1.0
1009,3044,2472,1.0
1010,2184,3040,2.0
1011,2895,3040,2.0
1012,2900,3040,1.0
1013,3044,3040,1.0
1014,3895,3040,2.0
1015,2184,3187,1.0
1016,2758,3187,1.0
1017,2759,3187,2.0
1018,2899,3187,1.0
1019,2901,3187,2.0
1020,2903,3187,1.0
1021,3038,3187,1.0
1022,3042,3187,2.0
1023,3044,3187,1.0
1024,3184,3187,2.0
